museum_number,species,collection,sex,region,body_length,mandible_length,inside_mandible_length,mandible_tooth_1,mandible_tooth_2,mandible_tooth_3,mandible_tooth_4,head_length,head_width,pronotum_length,pronotum_width,elytra_length,elytra_width,method
,G. helmsi,Barratt Collection,Male,Stewart Island,23.91,5.25,4.70,2.50,3.67,1.71,0.96,4.88,10.83,6.60,12.41,12.43,10.43,Callipers
,G. helmsi,Barratt Collection,Male,Stewart Island,20.88,4.79,4.03,2.28,3.65,1.52,0.70,4.38,9.82,5.57,10.64,10.93,9.73,Callipers
,G. helmsi,Barratt Collection,Female,Stewart Island,21.28,2.50,1.80,,,,,3.20,7.22,6.12,10.77,11.96,10.22,Callipers
,G. helmsi,Barratt Collection,Female,Stewart Island,20.13,2.85,1.76,,,,,3.12,6.86,6.22,10.06,10.79,9.75,Callipers
,G. helmsi,Barratt Collection,Female,Stewart Island,16.77,2.04,1.53,,,,,2.31,5.68,5.23,8.28,9.23,7.81,Callipers
,G. helmsi,Barratt Collection,Female,Stewart Island,24.37,3.09,2.16,,,,,3.80,8.04,6.78,11.68,13.79,11.30,Callipers
,G. helmsi,Barratt Collection,Female,Stewart Island,23.18,2.88,2.23,,,,,3.45,7.83,6.92,11.93,12.81,10.61,Callipers
,G. helmsi,Barratt Collection,Female,Stewart Island,21.64,2.51,1.87,,,,,3.15,7.19,6.12,10.54,12.37,10.43,Callipers
,G. helmsi,Barratt Collection,Male,Stewart Island,20.48,4.28,3.74,2.26,3.45,1.45,0.59,3.89,9.50,6.04,11.13,10.55,10.11,Callipers
,G. helmsi,Barratt Collection,Male,Stewart Island,22.15,4.58,3.82,2.30,3.76,1.39,0.79,5.04,9.97,5.85,11.16,11.26,10.20,Callipers
OMNZIV43998,G. helmsi,Otago Museum,Female,Stewart Island,16.79,2.19,1.41,,,,,1.97,5.63,4.78,8.08,10.04,8.31,Callipers
OMNZIV44001,G. helmsi,Otago Museum,Male,Stewart Island,19.59,3.83,3.11,2.09,3.54,0.62,0.49,3.91,8.60,5.65,10.27,10.03,8.96,Callipers
OMNZIV44006,G. helmsi,Otago Museum,Male,Stewart Island,27.59,6.81,6.18,3.12,4.97,1.32,1.06,6.70,13.41,7.61,14.68,13.28,11.27,Callipers
OMNZIV44014,G. helmsi,Otago Museum,Female,Stewart Island,19.90,2.30,1.62,,,,,2.75,6.38,5.61,9.42,11.54,9.57,Callipers
OMNZIV44020,G. helmsi,Otago Museum,Female,Stewart Island,20.37,2.16,1.63,,,,,3.11,6.63,6.01,9.62,11.25,9.38,Callipers
OMNZIV15634,G. helmsi,Otago Museum,Male,Stewart Island,24.67,6.16,5.40,3.00,4.60,1.35,1.23,5.89,11.67,6.52,13.09,12.26,10.98,Callipers
OMNZIV15636,G. helmsi,Otago Museum,Female,Stewart Island,21.68,2.60,1.62,,,,,2.84,7.17,6.38,10.98,12.46,10.87,Callipers
OMNZIV15642,G. helmsi,Otago Museum,Male,Stewart Island,23.15,5.11,4.96,2.61,4.21,1.03,0.98,4.35,11.18,6.96,12.55,11.84,10.40,Callipers
OMNZIV15644,G. helmsi,Otago Museum,Female,Stewart Island,18.96,2.32,1.68,,,,,3.17,6.47,5.62,9.13,10.17,8.85,Callipers
605542,G. helmsi,BMNH,Male,Stewart Island,27.69,8.87,7.73,3.80,5.03,2.34,1.61,6.24,16.70,8.47,18.02,12.98,13.44,Digital
605542,G. helmsi,BMNH,Male,Stewart Island,26.54,8.82,7.70,2.77,4.81,2.30,1.66,5.83,16.57,8.60,17.85,12.12,12.69,Digital
1,G. helmsi,Fieldwork,Male,Stewart Island,23.11,3.92,3.16,2.98,3.84,1.3,0.84,4.94,9.79,6.58,11.11,11.59,9.91,Callipers
2,G. helmsi,Fieldwork,Male,Stewart Island,22.24,4.23,3.02,2.03,2.62,1.72,0.45,4.92,9.33,6.43,10.67,10.89,9.64,Callipers
6,G. helmsi,Fieldwork,Male,Stewart Island,27.13,5.48,4.31,2.67,4.05,1.26,0.75,6.51,12.74,7.55,13.11,13.07,10.73,Callipers
7,G. helmsi,Fieldwork,Female,Stewart Island,24.10,3.27,2.15,,,,,4.56,7.84,6.71,11.43,12.83,10.96,Callipers
8,G. helmsi,Fieldwork,Female,Stewart Island,24.01,3.46,2.52,,,,,3.63,8.29,7.39,11.97,12.99,10.92,Callipers
9,G. helmsi,Fieldwork,Female,Stewart Island,22.74,2.82,1.58,,,,,3.4,7.44,7.45,10.32,11.89,10.27,Callipers
10,G. helmsi,Fieldwork,Female,Stewart Island,20.59,3.39,2.03,,,,,3.72,7.82,6.82,10.73,10.05,10.18,Callipers
11,G. helmsi,Fieldwork,Female,Stewart Island,23.18,2.79,1.7,,,,,3.06,8.06,7.47,11.12,12.65,10.08,Callipers
12,G. helmsi,Fieldwork,Female,Stewart Island,19.74,2.88,1.8,,,,,2.99,6.51,5.9,9.77,10.85,9.25,Callipers
13,G. helmsi,Fieldwork,Female,Stewart Island,22.65,2.86,2.19,,,,,3.66,8.21,6.88,10.78,12.11,10.39,Callipers
14,G. helmsi,Fieldwork,Female,Stewart Island,21.46,3.05,2.12,,,,,2.62,8.22,6.77,10.97,12.07,10.39,Callipers
15,G. helmsi,Fieldwork,Larva,Stewart Island,,,,,,,,,,,,,,
16,G. helmsi,Fieldwork,Female,Stewart Island,20.29,2.63,2.17,,,,,3.86,6.65,5.79,9.15,10.64,8.79,Callipers
17,G. helmsi,Fieldwork,Female,Stewart Island,,,,,,,,,,,,,,Callipers
18,G. helmsi,Fieldwork,Female,Stewart Island,25.80,2.83,1.68,,,,,4.08,8.15,7.77,12.02,13.95,11.27,Callipers
19,G. helmsi,Fieldwork,Female,Stewart Island,22.17,2.61,1.75,,,,,3.51,7.57,6.54,10.63,12.12,9.99,Callipers
20,G. helmsi,Fieldwork,Male,Stewart Island,,,,,,,,,,,,,,Callipers
21,G. helmsi,Fieldwork,Female,Stewart Island,24.48,2.26,1.9,,,,,3.61,7.94,7.75,12.21,13.12,11.49,Callipers
22,G. helmsi,Fieldwork,Female,Stewart Island,20.48,2.31,1.7,,,,,3.27,6.21,5.96,9.62,11.25,9.85,Callipers
23,G. helmsi,Fieldwork,Female,Stewart Island,23.66,2.56,1.6,,,,,3.64,6.98,7.79,10.48,12.23,10.52,Callipers
24,G. helmsi,Fieldwork,Female,Stewart Island,21.59,2.53,1.55,,,,,4.01,7.59,5.7,9.27,11.88,10.74,Callipers
25,G. helmsi,Fieldwork,Female,Stewart Island,20.88,1.94,1.64,,,,,2.8,6.43,6.54,9.52,11.54,9.15,Callipers
26,G. helmsi,Fieldwork,Female,Stewart Island,20.95,2.77,1.52,,,,,3.03,7.15,6.66,9.61,11.26,9.71,Callipers
27,G. helmsi,Fieldwork,Male,Stewart Island,26.07,5.77,5.13,3.08,4.23,1.66,1.51,5.85,11.68,7.37,13.19,12.85,11.09,Callipers
28,G. helmsi,Fieldwork,Female,Stewart Island,28.44,2.48,1.65,,,,,4.9,9.25,8.75,13.55,14.79,12.38,Callipers
29,G. helmsi,Fieldwork,Female,Stewart Island,24.60,2.47,2.03,,,,,4.3,7.5,6.99,11.28,13.31,10.36,Callipers
30,G. helmsi,Fieldwork,Female,Stewart Island,18.63,2.05,1.66,,,,,2.59,6.02,5.77,9.49,10.27,9.12,Callipers
31,G. helmsi,Fieldwork,Female,Stewart Island,21.10,2.77,2.13,,,,,3.69,6.97,6.4,9.7,11.01,9.87,Callipers
32,G. helmsi,Fieldwork,Female,Stewart Island,19.72,2.37,2.04,,,,,3.19,6.67,5.67,9.6,10.86,9.47,Callipers
33,G. helmsi,Fieldwork,Female,Stewart Island,20.16,2.06,1.79,,,,,3.19,6.96,6.16,9.44,10.81,9.1,Callipers
34,G. helmsi,Fieldwork,,Stewart Island,,,,,,,,,,,,,,
35,G. helmsi,Fieldwork,Female,Stewart Island,24.74,2.17,1.83,,,,,4.27,8.42,7.1,11.65,13.37,11.13,Callipers
36,G. helmsi,Fieldwork,Female,Stewart Island,20.67,1.8,1.76,,,,,2.65,7.4,6.5,9.93,11.52,9.3,Callipers
37,G. helmsi,Fieldwork,Male,Stewart Island,18.54,3.1,2.42,1.59,2.67,1.35,0.66,3.24,7.73,5.12,8.91,10.18,8.18,Callipers
38,G. helmsi,Fieldwork,Female,Stewart Island,20.32,2.34,1.88,,,,,3.89,6.69,6.21,8.42,10.22,9.05,Callipers
39,G. helmsi,Fieldwork,Female,Stewart Island,22.75,2.55,1.83,,,,,3.68,7.39,6.79,10.5,12.28,10.31,Callipers
40,G. helmsi,Fieldwork,Female,Stewart Island,,3.09,2.01,,,,,3.59,7.13,7.06,10.39,12.17,10.18,Callipers
41,G. helmsi,Fieldwork,Female,Stewart Island,24.58,2.91,2.31,,,,,4.05,8.19,7.39,11.58,13.14,11.41,Callipers
42,G. helmsi,Fieldwork,Female,Stewart Island,22.36,3.54,2.22,,,,,3.64,7.38,6.72,11.04,12,10.59,Callipers
43,G. helmsi,Fieldwork,Female,Stewart Island,21.67,2.55,2.02,,,,,3.61,7.72,6.24,10.69,11.82,10.14,Callipers
44,G. helmsi,Fieldwork,Female,Stewart Island,23.09,2.78,1.95,,,,,3.72,7.93,6.96,10.75,12.41,10.68,Callipers
45,G. helmsi,Fieldwork,Female,Stewart Island,20.84,2.52,2.09,,,,,3.26,6.49,6.21,9.15,11.37,9.21,Callipers
46,G. helmsi,Fieldwork,Female,Stewart Island,21.96,2.59,2.13,,,,,3.82,6.9,6.71,9.87,11.43,9.67,Callipers
47,G. helmsi,Fieldwork,Female,Stewart Island,21.99,2.83,2.56,,,,,3.25,7.25,6.2,10.09,12.54,9.92,Callipers
48,G. helmsi,Fieldwork,Female,Stewart Island,21.75,2.46,2.3,,,,,3.65,7,6.39,10.06,11.71,9.79,Callipers
49,G. helmsi,Fieldwork,Female,Stewart Island,20.36,2.78,2.46,,,,,3.1,6.75,6.45,9,10.81,8.57,Callipers
50,G. helmsi,Fieldwork,Female,Stewart Island,23.38,3.15,2.1,,,,,3.85,7.28,7.22,10.49,12.31,10.66,Callipers
51,G. helmsi,Fieldwork,Female,Stewart Island,18.42,2.08,1.93,,,,,2.97,6.52,5.45,8.76,10,8.31,Callipers
52,G. helmsi,Fieldwork,Male,Stewart Island,18.34,3.27,2.29,1.8,2.85,1.53,0.9,3.79,8.14,5.4,9.02,9.15,8.54,Callipers
53,G. helmsi,Fieldwork,Female,Stewart Island,19.18,2.03,1.86,,,,,3.14,5.89,5.74,8.3,10.3,8.32,Callipers
54,G. helmsi,Fieldwork,Female,Stewart Island,22.51,3.06,2.41,,,,,4.02,7.53,7.03,10.54,11.46,10.94,Callipers
55,G. helmsi,Fieldwork,Female,Stewart Island,24.80,2.96,2.8,,,,,3.73,8.01,7.85,10.83,13.22,10.79,Callipers
56,G. helmsi,Fieldwork,Female,Stewart Island,25.25,2.55,2.13,,,,,4.32,8.53,8.32,11.59,12.61,11.5,Callipers
57,G. helmsi,Fieldwork,Female,Stewart Island,20.83,2.89,2.2,,,,,3.3,7.19,6.11,9.33,11.42,9.24,Callipers
58,G. helmsi,Fieldwork,Male,Stewart Island,23.94,5.5,3.87,2.27,4.46,1.76,0.92,5.73,11.2,6.94,12.72,11.27,10.67,Callipers
59,G. helmsi,Fieldwork,Male,Stewart Island,27.37,5.82,4.78,3.33,5.21,2,1.37,7.17,13.05,7.44,14.28,12.76,11.64,Callipers
60,G. helmsi,Fieldwork,Female,Stewart Island,20.70,3.07,2.19,,,,,3.32,6.84,6.23,9.74,11.15,9.83,Callipers
61,G. helmsi,Fieldwork,Female,Stewart Island,19.88,2.31,2.25,,,,,2.49,6.8,6.14,9.53,11.25,9.08,Callipers
62,G. helmsi,Fieldwork,Female,Stewart Island,23.59,2.47,1.65,,,,,3.73,7.74,7.1,11.14,12.76,10.72,Callipers
63,G. helmsi,Fieldwork,Female,Stewart Island,18.46,2.34,2.24,,,,,2.65,6.63,5.76,8.67,10.05,8.64,Callipers
64,G. helmsi,Fieldwork,Female,Stewart Island,18.90,2.34,1.97,,,,,2.97,5.86,5.89,9.32,10.04,8.17,Callipers
66.15,G. helmsi,Fieldwork,Male,Stewart Island,,2.9,1.88,,,,,4.66,7,,,,,Callipers
67,G. helmsi,Fieldwork,Female,Stewart Island,19.06,2.22,1.69,,,,,3.02,6.98,5.81,9.37,10.23,9.26,Callipers
68,G. helmsi,Fieldwork,Male,Stewart Island,24.56,4.23,3.94,2.18,3.43,1.46,0.059,4.56,9.75,11.09,11.16,8.91,10.29,Callipers
69,G. helmsi,Fieldwork,Female,Stewart Island,22.55,2.46,1.61,,,,,3.49,7.31,7.09,9.84,11.97,9.6,Callipers
70,G. helmsi,Fieldwork,Female,Stewart Island,22.82,2.38,1.95,,,,,3.81,7.8,7.2,10.86,11.81,10.39,Callipers
71,G. helmsi,Fieldwork,Female,Stewart Island,22.74,2.9,2.56,,,,,3.4,7.88,6.78,11.24,12.56,10.61,Callipers
72,G. helmsi,Fieldwork,Female,Stewart Island,21.84,2.68,1.44,,,,,3.39,8.26,6.95,10.41,11.5,10.49,Callipers
73,G. helmsi,Fieldwork,Female,Stewart Island,22.00,3.44,2.74,,,,,3.85,7.46,6.33,10.31,11.82,9.92,Callipers
74,G. helmsi,Fieldwork,Female,Stewart Island,20.36,2.21,1.97,,,,,3.07,6.58,6.18,9.38,11.11,9.17,Callipers
75,G. helmsi,Fieldwork,Female,Stewart Island,23.87,2.79,2.19,,,,,4.21,7.72,6.7,11.22,12.96,10.93,Callipers
76,G. helmsi,Fieldwork,Female,Stewart Island,18.32,2.09,1.95,,,,,3.04,6.62,5.28,9.17,10,7.75,Callipers
77,G. helmsi,Fieldwork,Female,Stewart Island,23.50,2.75,2.13,,,,,3.66,7.6,7.23,11.29,12.61,10.44,Callipers
78,G. helmsi,Fieldwork,Female,Stewart Island,20.41,2.33,1.83,,,,,3.52,7.23,6.02,9.59,10.87,9.51,Callipers
79,G. helmsi,Fieldwork,Female,Stewart Island,20.74,2.69,1.93,,,,,3,7.28,6.62,9.87,11.12,9.71,Callipers
80,G. helmsi,Fieldwork,Female,Stewart Island,19.20,2.07,1.88,,,,,3.16,6.74,5.96,8.94,10.08,8.76,Callipers
81,G. helmsi,Fieldwork,Female,Stewart Island,22.06,2.83,1.84,,,,,3.56,7.15,6.6,10.05,11.9,10.31,Callipers
82,G. helmsi,Fieldwork,Female,Stewart Island,22.34,2.39,2.15,,,,,3.48,7.57,6.85,10.28,12.01,9.99,Callipers
83,G. helmsi,Fieldwork,Female,Stewart Island,20.49,1.97,1.74,,,,,3.32,6.91,6.08,9.44,11.09,9.36,Callipers
84,G. helmsi,Fieldwork,Female,Stewart Island,26.98,3.32,2.27,,,,,4.37,9.21,8.69,12.61,13.92,11.98,Callipers
85,G. helmsi,Fieldwork,Female,Stewart Island,24.71,2.84,2.32,,,,,3.75,8.16,7.63,11.77,13.33,11.52,Callipers
86,G. helmsi,Fieldwork,Female,Stewart Island,18.07,2.3,2.04,,,,,2.87,6.03,5.33,8.19,9.87,7.95,Callipers
87,G. helmsi,Fieldwork,Female,Stewart Island,24.68,2.69,2.32,,,,,4.48,7.77,7.01,10.98,13.19,10.87,Callipers
88,G. helmsi,Fieldwork,Female,Stewart Island,21.97,3.22,2.17,,,,,3.65,7.41,6.81,9.9,11.51,9.52,Callipers
89,G. helmsi,Fieldwork,Female,Stewart Island,19.89,2.04,1.96,,,,,3.29,6.62,5.94,9.09,10.66,8.83,Callipers
90,G. helmsi,Fieldwork,Female,Stewart Island,21.69,2.36,2.03,,,,,3.41,7.42,6.52,10.21,11.76,9.84,Callipers
91,G. helmsi,Fieldwork,Female,Stewart Island,24.71,2.72,2.51,,,,,4.09,7.57,7.8,11.93,12.82,11.57,Callipers
92,G. helmsi,Fieldwork,Female,Stewart Island,22.14,2.48,1.97,,,,,3.37,7.23,6.68,10.71,12.09,10.46,Callipers
93,G. helmsi,Fieldwork,Female,Stewart Island,20.32,2.43,1.87,,,,,3.15,7.11,6.19,9.21,10.98,9.24,Callipers
94,G. helmsi,Fieldwork,Female,Stewart Island,22.96,2.59,2.32,,,,,3.7,7.16,7.04,10.55,12.22,10.52,Callipers
95,G. helmsi,Fieldwork,Female,Stewart Island,24.04,2.86,2.46,,,,,3.85,7.84,7.23,11.24,12.96,11.03,Callipers
96,G. helmsi,Fieldwork,Female,Stewart Island,19.93,1.92,1.66,,,,,3.71,6.76,5.84,9.19,10.38,8.9,Callipers
97,G. helmsi,Fieldwork,Female,Stewart Island,20.77,2.39,1.64,,,,,3.35,6.8,6.06,9.44,11.36,9.43,Callipers
98,G. helmsi,Fieldwork,Female,Stewart Island,20.00,2.11,1.94,,,,,3.06,6.82,6.06,9.29,10.88,9.68,Callipers
99,G. helmsi,Fieldwork,Female,Stewart Island,21.47,2.14,1.9,,,,,4.04,6.89,6.85,10.03,10.58,9.56,Callipers
100,G. helmsi,Fieldwork,Female,Stewart Island,22.68,2.58,2.15,,,,,3.42,7.49,7.13,11.04,12.13,10.85,Callipers
101,G. helmsi,Fieldwork,Female,Stewart Island,26.11,3.21,2.24,,,,,3.91,,8.06,11.92,14.14,11.52,Callipers
102,G. helmsi,Fieldwork,Female,Stewart Island,19.35,2.29,1.99,,,,,3.34,7.62,6.12,9.75,9.89,9.25,Callipers
103,G. helmsi,Fieldwork,Female,Stewart Island,23.82,2.83,2.01,,,,,4.23,7.98,7.05,11.22,12.54,10.72,Callipers
104,G. helmsi,Fieldwork,Female,Stewart Island,17.83,1.97,1.75,,,,,2.74,6.35,5.42,8.6,9.67,8.57,Callipers
105,G. helmsi,Fieldwork,Female,Stewart Island,20.38,2.19,1.57,,,,,3.04,6.94,6.2,9.13,11.14,9.28,Callipers
106,G. helmsi,Fieldwork,Female,Stewart Island,20.41,2.62,1.93,,,,,3.18,6.81,6.01,9.38,11.22,9.09,Callipers
107,G. helmsi,Fieldwork,Female,Stewart Island,22.23,2.58,1.78,,,,,3.47,7.51,7.01,10.4,11.75,9.99,Callipers
108,G. helmsi,Fieldwork,Female,Stewart Island,17.02,2.04,1.59,,,,,2.43,5.84,5.19,8.6,9.4,8.54,Callipers
109,G. helmsi,Fieldwork,Female,Stewart Island,22.47,2.92,2.55,,,,,3.05,7.62,7.08,10.46,12.34,10.19,Callipers
110,G. helmsi,Fieldwork,Female,Stewart Island,21.72,3.1,2.04,,,,,3.45,7.28,6.7,10.11,11.57,9.68,Callipers
111,G. helmsi,Fieldwork,Female,Stewart Island,25.07,2.74,2.23,,,,,4.18,8.82,7.56,12.19,13.33,11.58,Callipers
112,G. helmsi,Fieldwork,Female,Stewart Island,21.81,2.43,1.79,,,,,2.84,7.16,6.95,10.58,12.02,9.96,Callipers
113,G. helmsi,Fieldwork,Female,Stewart Island,22.95,2.63,2.25,,,,,3.28,7.05,7.36,10.8,12.31,10.38,Callipers
114,G. helmsi,Fieldwork,Female,Stewart Island,21.99,2.57,2.39,,,,,3.69,8.18,6.91,10.67,11.39,10.12,Callipers
115,G. helmsi,Fieldwork,Female,Stewart Island,21.64,2.22,1.61,,,,,3.14,7.36,6.41,10.5,12.09,10.45,Callipers
116,G. helmsi,Fieldwork,Female,Stewart Island,20.16,2.38,1.97,,,,,3.64,7.05,5.66,9.02,10.86,9.09,Callipers
117,G. helmsi,Fieldwork,Female,Stewart Island,22.69,2.69,2.08,,,,,3.51,7.95,6.56,11.05,12.62,10.54,Callipers
118,G. helmsi,Fieldwork,Female,Stewart Island,21.68,2.5,1.62,,,,,3.79,7.82,6.42,9.8,11.47,10.26,Callipers
119,G. helmsi,Fieldwork,Female,Stewart Island,27.45,3.1,2.43,,,,,4.66,8.83,8.38,12.65,14.41,11.8,Callipers
120,G. helmsi,Fieldwork,Female,Stewart Island,22.59,2.86,2.51,,,,,3.4,7.7,7.29,10.51,11.9,10.19,Callipers
121,G. helmsi,Fieldwork,Female,Stewart Island,24.31,3.29,2.41,,,,,3.66,7.85,7.37,11.74,13.28,10.74,Callipers
122,G. helmsi,Fieldwork,Female,Stewart Island,21.41,2.34,1.8,,,,,3.31,7.08,6.48,10.45,11.62,11.07,Callipers
123,G. helmsi,Fieldwork,Female,Stewart Island,20.15,2.19,1.81,,,,,3.02,6.57,6.22,9.25,10.91,9,Callipers
DOC1,G. helmsi,DOC,Male,Stewart Island,24.79,5.22,4.50,2.63,4.26,1.72,1.14,6.06,11.31,6.47,12.65,12.26,10.61,Callipers
DOC2,G. helmsi,DOC,Male,Stewart Island,32.32,8.79,7.79,4.07,6.19,2.13,1.74,9.18,16.93,8.34,19.08,14.80,13.71,Callipers
DOC3,G. helmsi,DOC,Male,Stewart Island,29.29,8.23,7.15,3.51,5.72,2.09,1.63,7.44,14.89,8.34,16.25,13.51,12.38,Callipers
DOC4,G. helmsi,DOC,Male,Stewart Island,27.88,6.86,5.65,3.28,4.95,1.83,1.47,7.16,13.69,7.34,14.82,13.38,11.61,Callipers
DOC5,G. helmsi,DOC,Male,Stewart Island,30.87,8.65,7.18,3.64,5.99,2.24,1.87,8.53,16.10,7.92,17.54,14.42,13.28,Callipers
DOC6,G. helmsi,DOC,Male,Stewart Island,29.24,7.89,7.12,3.59,5.79,2.23,1.60,7.90,14.87,8.01,16.12,13.33,12.28,Callipers
DOC7,G. helmsi,DOC,Male,Stewart Island,31.88,8.71,7.25,3.63,5.88,2.16,1.67,8.87,15.97,8.19,17.51,14.82,12.88,Callipers
DOC8,G. helmsi,DOC,Male,Stewart Island,26.83,6.58,5.88,3.08,4.89,1.83,1.33,6.72,12.69,7.06,13.62,13.05,11.11,Callipers
DOC9,G. helmsi,DOC,Male,Stewart Island,25.38,5.70,4.48,2.74,4.28,1.65,1.11,6.04,11.45,7.02,12.84,12.32,10.62,Callipers
DOC10,G. helmsi,DOC,Male,Stewart Island,25.97,5.69,5.07,2.90,4.57,1.64,0.91,5.84,11.81,7.28,13.28,12.85,10.98,Callipers
DOC11,G. helmsi,DOC,Male,Stewart Island,30.85,8.01,7.04,3.53,5.58,1.85,1.61,8.40,16.02,8.43,17.44,14.02,12.73,Callipers
DOC12,G. helmsi,DOC,Male,Stewart Island,28.23,7.33,6.18,3.28,5.16,1.99,1.33,7.34,14.01,7.51,15.43,13.38,11.96,Callipers
DOC13,G. helmsi,DOC,Male,Stewart Island,26.55,6.44,5.48,2.92,4.62,1.74,1.19,6.60,12.68,7.11,13.54,12.84,11.08,Callipers
DOC14,G. helmsi,DOC,Male,Stewart Island,27.45,6.96,6.22,2.96,4.94,1.77,1.32,6.78,13.07,7.41,14.75,13.26,11.55,Callipers
DOC15,G. helmsi,DOC,Male,Stewart Island,29.82,8.09,7.26,3.57,5.99,2.30,1.43,8.14,15.16,8.04,15.65,13.64,12.21,Callipers
DOC16,G. helmsi,DOC,Female,Stewart Island,25.35,3.01,2.82,,,,,3.61,8.73,7.68,12.53,14.06,11.60,Callipers
DOC17,G. helmsi,DOC,Female,Stewart Island,26.55,3.07,2.39,,,,,4.51,8.92,7.74,13.20,14.30,12.14,Callipers
DOC18,G. helmsi,DOC,Female,Stewart Island,23.06,2.92,2.20,,,,,3.43,7.80,6.74,11.03,12.89,10.72,Callipers
DOC 19,G. helmsi,DOC,Male,Stewart Island,28.37,6.97,5.86,3.12,5.05,1.63,1.36,7.74,13.75,7.53,14.83,13.10,11.80,Callipers
DOC 20,G. helmsi,DOC,Male,Stewart Island,32.60,9.63,7.64,3.94,6.07,2.39,1.88,8.99,17.06,9.15,17.41,14.46,13.63,Callipers
DOC 21,G. helmsi,DOC,Male,Stewart Island,28.79,7.92,6.44,3.24,5.62,1.90,1.48,7.09,14.42,7.65,15.40,14.05,12.37,Callipers
DOC 22,G. helmsi,DOC,Male,Stewart Island,26.79,7.17,5.94,3.17,5.29,1.93,1.30,6.20,13.39,7.20,14.06,13.39,11.63,Callipers
DOC 23,G. helmsi,DOC,Male,Stewart Island,29.59,8.17,7.26,3.62,5.64,2.03,1.63,7.80,15.24,7.97,16.24,13.82,12.67,Callipers
DOC 24,G. helmsi,DOC,Male,Stewart Island,30.03,8.73,7.63,3.93,6.06,2.24,1.81,7.92,15.67,8.13,16.65,13.98,12.60,Callipers
DOC 25,G. helmsi,DOC,Male,Stewart Island,23.64,5.33,4.32,2.62,4.01,1.78,1.06,4.70,10.76,6.71,12.21,12.23,10.48,Callipers
DOC 26,G. helmsi,DOC,Male,Stewart Island,29.08,7.48,6.52,3.37,5.28,1.95,1.41,7.47,14.70,8.17,15.38,13.44,12.36,Callipers
DOC 27,G. helmsi,DOC,Male,Stewart Island,29.53,8.17,6.90,3.59,5.74,2.01,1.62,7.62,15.10,7.87,15.93,14.04,12.56,Callipers
DOC 28,G. helmsi,DOC,Male,Stewart Island,31.47,9.74,8.59,4.08,6.60,2.45,1.81,7.94,17.13,8.47,17.67,15.06,13.59,Callipers
DOC 29,G. helmsi,DOC,Male,Stewart Island,21.11,3.99,3.02,2.10,3.53,1.47,0.72,4.28,8.86,5.90,10.10,10.93,8.82,Callipers
DOC 30,G. helmsi,DOC,Male,Stewart Island,29.01,7.66,6.96,3.18,5.25,2.06,1.65,7.74,14.55,7.94,16.06,13.33,12.34,Callipers
DOC 31,G. helmsi,DOC,Male,Stewart Island,27.39,7.68,6.71,3.17,4.95,1.94,1.42,6.90,14.38,7.57,15.70,12.92,11.93,Callipers
DOC 32,G. helmsi,DOC,Male,Stewart Island,27.30,7.39,6.36,3.16,4.91,1.96,1.42,7.34,13.33,7.45,14.63,12.51,11.35,Callipers
DOC 33,G. helmsi,DOC,Male,Stewart Island,30.20,8.21,7.55,3.56,5.69,2.18,1.69,7.75,15.62,8.14,16.83,14.31,12.72,Callipers
DOC 34,G. helmsi,DOC,Male,Stewart Island,23.47,4.54,3.58,2.49,3.77,1.61,0.77,5.16,10.10,6.68,11.63,11.63,9.87,Callipers
DOC 35,G. helmsi,DOC,Male,Stewart Island,25.89,5.90,5.06,2.74,4.52,1.59,0.99,6.22,11.94,6.71,13.28,12.96,10.99,Callipers
DOC 36,G. helmsi,DOC,Male,Stewart Island,25.85,6.15,5.22,2.93,4.75,1.79,1.18,5.54,12.21,7.15,13.77,13.16,11.16,Callipers
DOC 37,G. helmsi,DOC,Male,Stewart Island,26.79,7.09,6.52,3.29,4.98,1.72,1.39,6.41,13.60,7.31,14.89,13.07,11.59,Callipers
DOC 38,G. helmsi,DOC,Male,Stewart Island,23.16,4.52,3.65,2.34,3.88,1.43,0.81,5.16,9.44,6.32,11.13,11.68,9.68,Callipers
DOC 39,G. helmsi,DOC,Male,Stewart Island,28.83,7.29,6.33,3.33,5.00,1.93,1.36,7.63,13.42,7.89,14.35,13.31,11.59,Callipers
DOC 40,G. helmsi,DOC,Male,Stewart Island,27.63,7.28,6.44,3.22,5.27,1.99,1.47,6.45,13.86,7.53,15.07,13.65,11.68,Callipers
DOC 41,G. helmsi,DOC,Male,Stewart Island,26.71,6.18,5.00,2.89,4.69,1.51,1.21,6.32,12.33,7.53,13.77,12.86,11.33,Callipers
DOC 42,G. helmsi,DOC,Female,Stewart Island,22.49,2.96,2.06,,,,,3.29,7.28,6.94,10.55,12.26,9.88,Callipers
Lincoln_57,G. helmsi,Lincoln Museum,Male,Stewart Island,21.05,5.05,4.21,2.42,3.30,1.59,0.89,5.28,10.95,6.13,12.09,9.65,9.98,Digital
Lincoln_59,G. helmsi,Lincoln Museum,,Stewart Island,,  ,,,,,,,,,,10.92,10.42,
Lincoln_60,G. helmsi,Lincoln Museum,Female,Stewart Island,17.00,1.31,1.10,,,,,2.41,7.15,5.53,10.32,9.06,9.70,Digital
Lincoln_67,G. helmsi,Lincoln Museum,Male,Stewart Island,21.79,6.19,5.15,3.21,4.04,1.78,0.94,4.70,11.93,7.63,13.29,9.46,11.25,Digital
